time,gFx,gFy,gFz,TgF
0.005969323,0.0606,0.0015,1.0740,1.076
0.006905,0.0603,-0.0016,1.0737,1.075
0.00741401,0.0606,-0.0041,1.0681,1.070
0.007802448,0.0601,-0.0085,1.0617,1.063
0.008649166,0.0528,-0.0092,1.0549,1.056
0.009068854,0.0481,-0.0117,1.0434,1.045
0.009454739,0.0425,-0.0109,1.0312,1.032
0.009831979,0.0369,-0.0099,1.0153,1.016
0.013613697,0.0279,-0.0085,1.0038,1.004
0.014199895,0.0198,-0.0080,0.9911,0.991
0.020775572,0.0105,-0.0041,0.9787,0.979
0.021789583,0.0012,0.0025,0.9687,0.969
0.02233276,-0.0061,0.0035,0.9609,0.961
0.024081979,-0.0144,0.0062,0.9545,0.955
0.025594791,-0.0222,0.0093,0.9521,0.952
0.027851093,-0.0261,0.0120,0.9442,0.945
0.033278802,-0.0325,0.0142,0.9464,0.947
0.033636041,-0.0335,0.0159,0.9459,0.947
0.035380364,-0.0330,0.0184,0.9491,0.950
0.037596302,-0.0310,0.0206,0.9547,0.955
0.039945885,-0.0269,0.0199,0.9577,0.958
0.042271302,-0.0232,0.0213,0.9660,0.966
0.044774322,-0.0166,0.0189,0.9714,0.972
0.04808276,-0.0129,0.0176,0.9794,0.980
0.049727239,-0.0088,0.0162,0.9840,0.984
0.052172708,-0.0007,0.0147,0.9909,0.991
0.054469531,0.0037,0.0113,0.9943,0.994
0.056607083,0.0110,0.0089,0.9997,1.000
0.059351406,0.0159,0.0059,1.0009,1.001
0.061808593,0.0205,0.0062,1.0058,1.006
0.065617604,0.0252,0.0040,1.0046,1.005
0.066435104,0.0281,-0.0007,1.0102,1.011
0.068854479,0.0306,0.0003,1.0097,1.010
0.071015625,0.0320,-0.0029,1.0102,1.011
0.073443437,0.0340,-0.0034,1.0122,1.013
0.076095625,0.0320,-0.0053,1.0119,1.012
0.078097083,0.0369,-0.0075,1.0146,1.015
0.080689895,0.0352,-0.0097,1.0136,1.014
0.083045625,0.0335,-0.0121,1.0117,1.012
0.08551026,0.0308,-0.0114,1.0124,1.013
0.087691041,0.0296,-0.0097,1.0119,1.012
0.089964427,0.0264,-0.0121,1.0068,1.007
0.092374843,0.0257,-0.0129,1.0065,1.007
0.095291041,0.0230,-0.0129,1.0036,1.004
0.09986,0.0168,-0.0099,1.0014,1.002
0.100892083,0.0171,-0.0075,0.9953,0.995
0.102624531,0.0112,-0.0063,0.9950,0.995
0.105375625,0.0078,-0.0065,0.9880,0.988
0.107410885,0.0056,-0.0051,0.9882,0.988
0.109643541,0.0049,-0.0043,0.9819,0.982
0.115591718,0.0034,-0.0009,0.9787,0.979
0.116567916,-0.0002,-0.0034,0.9772,0.977
0.117280885,-0.0005,-0.0016,0.9757,0.976
0.119269947,-0.0007,-0.0031,0.9735,0.974
0.121665364,-0.0034,-0.0014,0.9704,0.970
0.123862708,-0.0039,-0.0021,0.9723,0.972
0.126187604,-0.0042,-0.0009,0.9704,0.970
0.128506406,-0.0039,-0.0002,0.9726,0.973
0.133112656,-0.0037,0.0023,0.9757,0.976
0.133718385,-0.0046,0.0020,0.9779,0.978
0.136565312,-0.0034,0.0035,0.9804,0.980
0.138306927,-0.0046,0.0030,0.9816,0.982
0.140651979,-0.0012,0.0049,0.9833,0.983
0.143172916,0.0005,0.0052,0.9860,0.986
0.147419739,0.0020,0.0074,0.9875,0.987
0.147991562,0.0027,0.0091,0.9897,0.990
0.150425364,0.0039,0.0089,0.9923,0.992
0.15284151,0.0049,0.0108,0.9950,0.995
0.155257447,0.0061,0.0108,0.9943,0.994
0.157323333,0.0051,0.0115,0.9955,0.996
0.15982526,0.0088,0.0142,0.9965,0.997
0.164000208,0.0076,0.0110,0.9972,0.997
0.164871718,0.0068,0.0123,0.9945,0.995
0.167324114,0.0090,0.0123,0.9938,0.994
0.169519375,0.0095,0.0130,0.9972,0.997
0.172150468,0.0085,0.0091,0.9999,1.000
0.174570104,0.0081,0.0054,0.9975,0.998
0.176596822,0.0083,0.0064,0.9970,0.997
0.180562968,0.0073,0.0052,0.9960,0.996
0.181554479,0.0051,0.0023,0.9963,0.996
0.183945677,0.0049,0.0008,0.9945,0.995
0.186340208,0.0066,0.0003,0.9955,0.996
0.18881026,0.0059,-0.0014,0.9958,0.996
0.191016354,0.0068,-0.0019,0.9948,0.995
0.19336526,0.0076,-0.0024,0.9948,0.995
0.197552187,0.0061,-0.0038,0.9936,0.994
0.198451822,0.0063,-0.0041,0.9916,0.992
0.200768802,0.0063,-0.0041,0.9938,0.994
0.20327177,0.0073,-0.0031,0.9897,0.990
0.205650781,0.0066,-0.0014,0.9928,0.993
0.20776375,0.0093,-0.0024,0.9911,0.991
0.210097395,0.0095,-0.0024,0.9894,0.989
0.21426052,0.0093,0.0003,0.9899,0.990
0.215322291,0.0120,0.0003,0.9933,0.993
0.217741822,0.0103,-0.0016,0.9914,0.991
0.220552343,0.0127,0.0010,0.9899,0.990
0.222589479,0.0129,0.0023,0.9914,0.991
0.225118854,0.0134,0.0025,0.9943,0.994
0.227057343,0.0134,0.0040,0.9921,0.992
0.231259999,0.0156,0.0037,0.9941,0.994
0.232503802,0.0159,0.0049,0.9941,0.994
0.235102552,0.0159,0.0049,0.9941,0.994
0.236889791,0.0171,0.0052,0.9972,0.997
0.238996666,0.0159,0.0074,0.9977,0.998
0.241567395,0.0149,0.0071,0.9963,0.996
0.24389927,0.0178,0.0067,0.9936,0.994
0.257632447,0.0146,0.0059,0.9972,0.997
0.258447239,0.0142,0.0062,0.9960,0.996
0.25878802,0.0127,0.0069,0.9941,0.994
0.259117604,0.0149,0.0023,0.9945,0.995
0.259414843,0.0154,0.0037,0.9928,0.993
0.25971427,0.0142,0.0027,0.9948,0.995
0.260642604,0.0137,0.0030,0.9943,0.994
0.264495104,0.0142,0.0025,0.9936,0.994
0.265690572,0.0120,0.0010,0.9933,0.993
0.267946874,0.0142,0.0001,0.9916,0.992
0.270789947,0.0120,0.0008,0.9906,0.991
0.272812812,0.0103,0.0003,0.9894,0.989
0.275184114,0.0100,-0.0002,0.9889,0.989
0.277493645,0.0107,0.0015,0.9892,0.989
0.280480156,0.0090,0.0005,0.9887,0.989
0.28225802,0.0117,0.0018,0.9880,0.988
0.285061718,0.0107,0.0027,0.9904,0.990
0.28733927,0.0095,0.0042,0.9897,0.990
0.289668333,0.0066,0.0040,0.9911,0.991
0.291830208,0.0081,0.0069,0.9889,0.989
0.294223177,0.0090,0.0059,0.9894,0.989
0.297906614,0.0095,0.0057,0.9894,0.989
0.299468906,0.0056,0.0086,0.9875,0.988
0.301368645,0.0088,0.0106,0.9872,0.987
0.303900104,0.0085,0.0115,0.9870,0.987
0.306334635,0.0098,0.0096,0.9875,0.988
0.308736093,0.0112,0.0076,0.9882,0.988
0.310848489,0.0115,0.0079,0.9882,0.988
0.313976458,0.0120,0.0059,0.9875,0.988
0.316070572,0.0137,0.0037,0.9904,0.990
0.318269322,0.0139,0.0040,0.9926,0.993
0.320718437,0.0159,0.0010,0.9906,0.991
0.322995885,0.0181,0.0003,0.9906,0.991
0.325487916,0.0171,0.0008,0.9945,0.995
0.327700052,0.0203,-0.0021,0.9938,0.994
0.330800624,0.0205,-0.0012,0.9938,0.994
0.332620416,0.0210,-0.0019,0.9928,0.993
0.33517552,0.0212,-0.0031,0.9958,0.996
0.337632447,0.0215,-0.0056,0.9950,0.995
0.339842291,0.0200,-0.0058,0.9938,0.994
0.342527916,0.0225,-0.0068,0.9941,0.994
0.344683333,0.0195,-0.0070,0.9950,0.995
0.348040885,0.0212,-0.0073,0.9931,0.993
0.349988072,0.0183,-0.0075,0.9928,0.993
0.352017395,0.0173,-0.0082,0.9919,0.992
0.354552812,0.0146,-0.0068,0.9909,0.991
0.356662552,0.0161,-0.0085,0.9914,0.992
0.359178958,0.0137,-0.0056,0.9906,0.991
0.361209166,0.0144,-0.0060,0.9904,0.991
0.374981093,0.0110,-0.0051,0.9902,0.990
0.375960677,0.0105,-0.0024,0.9892,0.989
0.37639427,0.0098,-0.0009,0.9911,0.991
0.377108854,0.0088,0.0008,0.9923,0.992
0.377467708,0.0083,0.0020,0.9914,0.991
0.377812291,0.0081,0.0008,0.9923,0.992
0.37821302,0.0068,0.0067,0.9911,0.991
0.381180468,0.0068,0.0054,0.9909,0.991
0.383322031,0.0032,0.0081,0.9906,0.991
0.385616874,0.0071,0.0089,0.9892,0.989
0.388056666,0.0051,0.0091,0.9902,0.990
0.390274843,0.0020,0.0123,0.9911,0.991
0.392924374,0.0059,0.0123,0.9919,0.992
0.396057552,0.0068,0.0137,0.9950,0.995
0.402109791,0.0076,0.0115,0.9936,0.994
0.402883802,0.0037,0.0108,0.9960,0.996
0.403128229,0.0039,0.0128,0.9943,0.994
0.40483401,0.0073,0.0113,0.9926,0.993
0.406937656,0.0073,0.0101,0.9958,0.996
0.409158697,0.0049,0.0110,0.9960,0.996
0.411514635,0.0066,0.0096,0.9970,0.997
0.414269739,0.0059,0.0096,0.9960,0.996
0.417057395,0.0059,0.0071,0.9965,0.997
0.418999322,0.0068,0.0057,0.9945,0.995
0.421873072,0.0081,0.0071,0.9965,0.997
0.423871458,0.0037,0.0067,0.9963,0.996
0.426079531,0.0068,0.0025,0.9960,0.996
0.42833526,0.0073,0.0018,0.9953,0.995
0.430936093,0.0081,0.0005,0.9933,0.993
0.433375052,0.0071,0.0013,0.9889,0.989
0.436133281,0.0100,-0.0004,0.9884,0.988
0.438294479,0.0090,-0.0002,0.9882,0.988
0.440376145,0.0112,-0.0021,0.9899,0.990
0.442814739,0.0117,-0.0019,0.9865,0.987
0.445259843,0.0122,-0.0024,0.9870,0.987
0.447961406,0.0137,-0.0024,0.9862,0.986
0.450327916,0.0151,-0.0019,0.9858,0.986
0.452862708,0.0134,-0.0014,0.9845,0.985
0.455253489,0.0154,-0.0019,0.9826,0.983
0.457337916,0.0156,0.0003,0.9828,0.983
0.459663385,0.0183,0.0001,0.9833,0.983
0.461950468,0.0159,0.0013,0.9872,0.987
0.464773385,0.0193,-0.0004,0.9862,0.986
0.467227447,0.0193,0.0001,0.9897,0.990
0.469577604,0.0227,0.0020,0.9894,0.990
0.472027551,0.0212,0.0005,0.9880,0.988
0.474237551,0.0203,0.0010,0.9875,0.988
0.476866979,0.0222,0.0003,0.9899,0.990
0.478977343,0.0212,-0.0031,0.9921,0.992
0.481781718,0.0222,-0.0007,0.9933,0.994
0.483868176,0.0188,-0.0031,0.9923,0.993
0.486357812,0.0164,-0.0031,0.9941,0.994
0.48875901,0.0193,-0.0014,0.9945,0.995
0.490927604,0.0164,0.0001,0.9955,0.996
0.493383541,0.0176,-0.0004,0.9967,0.997
0.502851354,0.0137,0.0010,0.9958,0.996
0.504112499,0.0151,0.0008,0.9938,0.994
0.504613854,0.0142,0.0005,0.9967,0.997
0.505018489,0.0139,0.0001,0.9953,0.995
0.50610026,0.0146,0.0023,0.9938,0.994
0.508170781,0.0115,0.0030,0.9933,0.993
0.510360729,0.0117,0.0035,0.9909,0.991
0.518842812,0.0132,0.0030,0.9923,0.992
0.519585937,0.0139,0.0020,0.9909,0.991
0.519830208,0.0132,0.0032,0.9926,0.993
0.520024426,0.0127,0.0037,0.9916,0.992
0.522450833,0.0120,0.0023,0.9916,0.992
0.524796197,0.0127,0.0035,0.9902,0.990
0.526704739,0.0129,0.0023,0.9919,0.992
0.530152551,0.0117,0.0013,0.9919,0.992
0.532467395,0.0127,0.0020,0.9914,0.991
0.534009583,0.0132,0.0010,0.9923,0.992
0.536577083,0.0159,0.0035,0.9914,0.992
0.538940416,0.0129,0.0018,0.9906,0.991
0.541034531,0.0125,0.0010,0.9945,0.995
0.543749687,0.0137,0.0023,0.9916,0.992
0.547556822,0.0100,0.0025,0.9938,0.994
0.548703072,0.0105,0.0035,0.9943,0.994
0.550941666,0.0120,0.0027,0.9923,0.992
0.55353901,0.0127,0.0013,0.9921,0.992
0.555860051,0.0105,0.0037,0.9926,0.993
0.557923697,0.0122,0.0062,0.9933,0.993
0.560330624,0.0110,0.0045,0.9880,0.988
0.564236874,0.0103,0.0047,0.9911,0.991
0.565594218,0.0115,0.0054,0.9911,0.991
0.568471249,0.0122,0.0067,0.9919,0.992
0.570498749,0.0117,0.0069,0.9919,0.992
0.572752239,0.0137,0.0054,0.9926,0.993
0.575056874,0.0120,0.0030,0.9948,0.995
0.577275312,0.0132,0.0059,0.9909,0.991
0.581251093,0.0125,0.0027,0.9938,0.994
0.582045729,0.0142,0.0032,0.9928,0.993
0.584753176,0.0139,0.0013,0.9926,0.993
0.586985624,0.0134,0.0025,0.9889,0.989
0.58929151,0.0129,0.0008,0.9887,0.989
0.591541874,0.0164,-0.0019,0.9911,0.991
0.593890416,0.0168,-0.0012,0.9926,0.993
0.598083124,0.0178,-0.0016,0.9892,0.989
0.59909177,0.0168,-0.0016,0.9889,0.989
0.601460989,0.0146,-0.0026,0.9877,0.988
0.603893697,0.0156,-0.0036,0.9892,0.989
0.606481249,0.0168,-0.0046,0.9882,0.988
0.60830427,0.0154,-0.0053,0.9877,0.988
0.610713697,0.0154,-0.0043,0.9894,0.990
0.614640729,0.0161,-0.0038,0.9853,0.985
0.616167187,0.0154,-0.0043,0.9882,0.988
0.61820052,0.0166,-0.0021,0.9860,0.986
0.620612499,0.0171,-0.0021,0.9843,0.984
0.623035833,0.0198,-0.0012,0.9862,0.986
0.625347708,0.0171,-0.0014,0.9880,0.988
0.627671562,0.0176,0.0003,0.9880,0.988
0.631373124,0.0149,0.0008,0.9880,0.988
0.632617864,0.0159,0.0025,0.9867,0.987
0.634985104,0.0186,0.0040,0.9880,0.988
0.637331093,0.0146,0.0040,0.9877,0.988
0.639732864,0.0161,0.0062,0.9882,0.988
0.641865364,0.0146,0.0067,0.9926,0.993
0.644984218,0.0142,0.0057,0.9914,0.991
0.652921145,0.0142,0.0091,0.9916,0.992
0.65426026,0.0151,0.0086,0.9936,0.994
0.654707968,0.0154,0.0081,0.9958,0.996
0.654936249,0.0132,0.0096,0.9965,0.997
0.657744426,0.0134,0.0098,0.9955,0.996
0.659354739,0.0132,0.0098,0.9965,0.997
0.661377187,0.0103,0.0091,0.9967,0.997
0.66747151,0.0122,0.0096,1.0002,1.000
0.668595833,0.0093,0.0113,0.9977,0.998
0.669360156,0.0083,0.0096,0.9982,0.998
0.670894947,0.0115,0.0089,0.9987,0.999
0.673322499,0.0088,0.0108,0.9997,1.000
0.676180676,0.0063,0.0108,0.9985,0.999
0.678168437,0.0071,0.0096,0.9994,1.000
0.680867135,0.0078,0.0120,0.9987,0.999
0.684947343,0.0071,0.0110,0.9985,0.999
0.685149791,0.0073,0.0137,0.9994,1.000
0.687852343,0.0081,0.0142,0.9994,1.000
0.690255468,0.0100,0.0137,0.9992,0.999
0.692297499,0.0098,0.0140,0.9985,0.999
0.695076145,0.0105,0.0140,0.9972,0.997
0.698603645,0.0073,0.0123,0.9975,0.998
0.700689322,0.0093,0.0137,0.9972,0.997
0.702087239,0.0115,0.0093,0.9948,0.995
0.704416458,0.0098,0.0101,0.9953,0.995
0.706857708,0.0122,0.0076,0.9923,0.992
0.709356614,0.0122,0.0057,0.9938,0.994
0.711679583,0.0122,0.0025,0.9948,0.995
0.714336822,0.0122,0.0010,0.9941,0.994
0.716742603,0.0127,0.0005,0.9887,0.989
0.719384062,0.0125,-0.0004,0.9911,0.991
0.721433176,0.0154,-0.0026,0.9914,0.991
0.72380552,0.0144,-0.0036,0.9926,0.993
0.726513541,0.0173,-0.0056,0.9906,0.991
0.728263645,0.0183,-0.0073,0.9919,0.992
0.731421249,0.0181,-0.0085,0.9909,0.991
0.733323645,0.0183,-0.0092,0.9889,0.989
0.735711614,0.0173,-0.0087,0.9875,0.988
0.737973853,0.0176,-0.0063,0.9884,0.989
0.740487603,0.0183,-0.0065,0.9850,0.985
0.742823749,0.0178,-0.0065,0.9811,0.981
0.745176822,0.0176,-0.0043,0.9853,0.985
0.752594218,0.0161,-0.0043,0.9831,0.983
0.753708593,0.0188,-0.0051,0.9867,0.987
0.754192812,0.0200,-0.0026,0.9836,0.984
0.755046093,0.0166,-0.0004,0.9850,0.985
0.757509166,0.0181,-0.0009,0.9853,0.985
0.759601406,0.0181,-0.0024,0.9819,0.982
0.76195151,0.0178,-0.0009,0.9828,0.983
0.764831718,0.0166,-0.0012,0.9836,0.984
0.767075156,0.0144,-0.0009,0.9862,0.986
0.769110781,0.0132,-0.0014,0.9848,0.985
0.771451562,0.0151,0.0003,0.9858,0.986
0.773805364,0.0146,-0.0009,0.9870,0.987
0.776192603,0.0122,-0.0019,0.9882,0.988
0.778566822,0.0149,-0.0021,0.9884,0.989
0.781282083,0.0144,-0.0012,0.9877,0.988
0.783999218,0.0139,-0.0019,0.9872,0.987
0.786086197,0.0144,-0.0007,0.9916,0.992
0.788303645,0.0122,-0.0019,0.9916,0.992
0.790586718,0.0127,-0.0009,0.9899,0.990
0.79287651,0.0120,0.0027,0.9904,0.990
0.795608333,0.0107,0.0015,0.9911,0.991
0.798291145,0.0122,0.0003,0.9936,0.994
0.800507551,0.0105,0.0020,0.9936,0.994
0.803062864,0.0122,0.0023,0.9948,0.995
0.805299583,0.0110,0.0030,0.9950,0.995
0.807651406,0.0103,0.0064,0.9960,0.996
0.809940364,0.0098,0.0074,0.9955,0.996
0.812136666,0.0115,0.0076,0.9965,0.997
0.815494374,0.0098,0.0071,0.9982,0.998
0.817709687,0.0122,0.0101,0.9965,0.997
0.820003176,0.0112,0.0108,0.9970,0.997
0.822125989,0.0110,0.0103,0.9955,0.996
0.824472135,0.0122,0.0103,0.9950,0.995
0.826751978,0.0105,0.0110,0.9960,0.996
0.829034895,0.0154,0.0120,1.0007,1.001
0.831690051,0.0142,0.0113,0.9970,0.997
0.834845312,0.0139,0.0130,0.9958,0.996
0.83667927,0.0122,0.0103,0.9965,0.997
0.838853541,0.0151,0.0093,0.9980,0.998
0.841161197,0.0164,0.0093,0.9967,0.997
0.844010208,0.0146,0.0059,0.9975,0.998
0.845882603,0.0159,0.0049,0.9960,0.996
0.848667551,0.0151,0.0049,0.9970,0.997
0.850769947,0.0181,0.0020,0.9963,0.996
0.853246145,0.0195,0.0025,0.9967,0.997
0.85562927,0.0186,0.0008,0.9955,0.996
0.857846614,0.0200,0.0010,0.9965,0.997
0.860843853,0.0178,0.0008,0.9958,0.996
0.862486562,0.0193,-0.0024,0.9955,0.996
0.869635937,0.0195,-0.0009,0.9931,0.993
0.870771197,0.0190,-0.0024,0.9926,0.993
0.871165781,0.0181,-0.0012,0.9899,0.990
0.872363072,0.0183,-0.0007,0.9909,0.991
0.875444478,0.0166,0.0008,0.9906,0.991
0.877624947,0.0200,-0.0002,0.9860,0.986
0.885460103,0.0190,-0.0004,0.9880,0.988
0.886359322,0.0171,0.0015,0.9865,0.987
0.886767291,0.0164,0.0015,0.9870,0.987
0.887124322,0.0188,0.0030,0.9826,0.983
0.889029635,0.0176,0.0018,0.9836,0.984
0.891502968,0.0183,0.0030,0.9823,0.983
0.893602603,0.0166,0.0010,0.9855,0.986
0.897493905,0.0181,0.0042,0.9845,0.985
0.898672603,0.0173,0.0057,0.9855,0.986
0.90091026,0.0164,0.0067,0.9831,0.983
0.903413697,0.0161,0.0062,0.9848,0.985
0.90565526,0.0161,0.0089,0.9819,0.982
0.908042655,0.0127,0.0079,0.9826,0.983
0.910418176,0.0151,0.0084,0.9853,0.985
0.914325572,0.0137,0.0062,0.9862,0.986
0.915723228,0.0156,0.0045,0.9860,0.986
0.917967291,0.0134,0.0047,0.9882,0.988
0.920207135,0.0156,0.0052,0.9887,0.989
0.922473905,0.0127,0.0049,0.9884,0.989
0.925077864,0.0117,0.0049,0.9921,0.992
0.927307239,0.0137,0.0025,0.9911,0.991
0.931370103,0.0117,0.0042,0.9916,0.992
0.932523072,0.0115,0.0037,0.9916,0.992
0.935077603,0.0132,0.0025,0.9936,0.994
0.93779953,0.0112,0.0010,0.9945,0.995
0.939311301,0.0093,0.0032,0.9955,0.996
0.942177603,0.0115,0.0001,0.9943,0.994
0.943976666,0.0105,0.0013,0.9936,0.994
0.947983645,0.0088,-0.0002,0.9948,0.995
0.949107447,0.0098,0.0018,0.9958,0.996
0.951537343,0.0112,0.0008,0.9985,0.999
0.95395302,0.0085,0.0003,0.9948,0.995
0.95611453,0.0090,0.0018,0.9972,0.997
0.958450572,0.0110,0.0013,0.9963,0.996
0.960784374,0.0115,0.0010,0.9972,0.997
0.964555885,0.0103,0.0025,0.9970,0.997
0.966144895,0.0093,0.0035,1.0009,1.001
0.968392083,0.0129,0.0023,0.9985,0.999
0.971388228,0.0103,0.0032,0.9977,0.998
0.972849635,0.0134,0.0032,0.9980,0.998
0.97560677,0.0127,0.0059,0.9987,0.999
0.977663124,0.0161,0.0042,0.9958,0.996
0.981441249,0.0151,0.0047,0.9960,0.996
0.982751562,0.0161,0.0057,0.9977,0.998
0.985014843,0.0181,0.0052,0.9960,0.996
0.987644791,0.0188,0.0040,0.9945,0.995
0.989653437,0.0200,0.0054,0.9948,0.995
0.99199453,0.0217,0.0030,0.9926,0.993
0.994534322,0.0190,0.0057,0.9916,0.992
1.002216145,0.0242,0.0049,0.9943,0.995
1.003189166,0.0232,0.0020,0.9921,0.992
1.003605572,0.0244,0.0020,0.9911,0.991
1.004399791,0.0252,0.0010,0.9887,0.989
1.006688958,0.0222,0.0023,0.9892,0.989
1.009411249,0.0242,0.0008,0.9887,0.989
1.012354114,0.0232,0.0015,0.9882,0.988
1.016479739,0.0225,0.0010,0.9899,0.990
1.017184687,0.0230,0.0003,0.9889,0.989
1.018765468,0.0205,0.0003,0.9909,0.991
1.021574635,0.0203,-0.0009,0.9887,0.989
1.023597864,0.0183,-0.0007,0.9894,0.990
1.025844895,0.0193,0.0001,0.9892,0.989
1.028383541,0.0161,0.0005,0.9875,0.988
1.030660155,0.0146,-0.0007,0.9853,0.985
1.032958228,0.0144,-0.0002,0.9880,0.988
1.03549526,0.0164,-0.0019,0.9843,0.984
1.038276145,0.0144,0.0003,0.9875,0.988
1.04037052,0.0125,-0.0004,0.9870,0.987
1.042463489,0.0112,0.0008,0.9850,0.985
1.044833853,0.0112,0.0010,0.9850,0.985
1.04856828,0.0115,0.0018,0.9862,0.986
1.04998151,0.0112,0.0010,0.9887,0.989
1.052430885,0.0098,0.0013,0.9887,0.989
1.055398489,0.0115,0.0018,0.9894,0.989
1.056857135,0.0120,0.0040,0.9889,0.989
1.059942447,0.0115,0.0023,0.9892,0.989
1.061612916,0.0137,0.0030,0.9909,0.991
1.06469927,0.0105,0.0037,0.9921,0.992
1.066934374,0.0115,0.0037,0.9899,0.990
1.069037447,0.0134,0.0047,0.9919,0.992
1.071400937,0.0134,0.0045,0.9928,0.993
1.073906614,0.0137,0.0059,0.9921,0.992
1.076535728,0.0127,0.0074,0.9953,0.995
1.078400728,0.0149,0.0069,0.9970,0.997
1.081319843,0.0132,0.0067,0.9972,0.997
1.083843749,0.0132,0.0074,0.9936,0.994
1.086005364,0.0132,0.0062,0.9958,0.996
1.08808901,0.0156,0.0062,0.9967,0.997
1.090881614,0.0154,0.0054,0.9980,0.998
1.093005312,0.0159,0.0069,0.9970,0.997
1.095265937,0.0146,0.0047,0.9992,0.999
1.097755833,0.0146,0.0035,0.9975,0.998
1.100377603,0.0142,0.0018,0.9955,0.996
1.102568593,0.0139,0.0032,0.9953,0.995
1.105629791,0.0129,0.0032,0.9958,0.996
1.10733401,0.0159,0.0052,0.9933,0.993
1.109781457,0.0151,0.0023,0.9955,0.996
1.112007082,0.0159,0.0045,0.9958,0.996
1.115201041,0.0142,0.0047,0.9977,0.998
1.117034739,0.0139,0.0040,0.9943,0.994
1.119455416,0.0156,0.0008,0.9950,0.995
1.121995572,0.0166,0.0018,0.9943,0.994
1.12444703,0.0149,0.0032,0.9955,0.996
1.126638072,0.0146,0.0027,0.9943,0.994
1.128864426,0.0149,0.0027,0.9943,0.994
1.13516828,0.0156,0.0040,0.9943,0.994
1.136064426,0.0120,0.0037,0.9965,0.997
1.13645526,0.0156,0.0023,0.9938,0.994
1.138747343,0.0142,0.0030,0.9923,0.992
1.141091614,0.0142,0.0035,0.9926,0.993
1.145167239,0.0149,0.0030,0.9923,0.992
1.145630468,0.0129,0.0018,0.9919,0.992
1.148994635,0.0127,0.0037,0.9926,0.993
1.150612499,0.0144,0.0035,0.9897,0.990
1.153311301,0.0142,0.0013,0.9909,0.991
1.155146145,0.0134,0.0027,0.9914,0.991
1.157583176,0.0134,0.0045,0.9880,0.988
1.159869687,0.0159,0.0030,0.9892,0.989
1.162156614,0.0137,0.0013,0.9899,0.990
1.16482427,0.0122,0.0015,0.9892,0.989
1.167230832,0.0146,0.0030,0.9882,0.988
1.169645312,0.0137,0.0015,0.9855,0.986
1.171844426,0.0154,0.0008,0.9843,0.984
1.174358801,0.0134,0.0005,0.9858,0.986
1.176809739,0.0142,0.0010,0.9870,0.987
1.17921776,0.0161,0.0030,0.9850,0.985
1.181696041,0.0171,0.0025,0.9860,0.986
1.184082812,0.0146,-0.0007,0.9880,0.988
1.186473541,0.0159,0.0023,0.9853,0.985
1.188795989,0.0151,0.0013,0.9862,0.986
1.191209374,0.0168,0.0008,0.9845,0.985
1.19363677,0.0173,-0.0002,0.9850,0.985
1.19606177,0.0171,0.0023,0.9836,0.984
1.199030207,0.0188,-0.0009,0.9845,0.985
1.201513645,0.0149,-0.0002,0.9884,0.989
1.203775572,0.0159,-0.0016,0.9889,0.989
1.205887812,0.0161,-0.0014,0.9872,0.987
1.208255676,0.0151,0.0015,0.9884,0.989
1.210673905,0.0178,-0.0004,0.9902,0.990
1.212861145,0.0171,0.0005,0.9887,0.989
1.21608677,0.0171,0.0005,0.9889,0.989
1.21803927,0.0183,0.0001,0.9897,0.990
1.22031151,0.0173,-0.0004,0.9921,0.992
1.22292776,0.0186,0.0008,0.9916,0.992
1.225382395,0.0154,0.0020,0.9923,0.992
1.227497916,0.0183,0.0020,0.9950,0.995
1.231773072,0.0173,0.0023,0.9941,0.994
1.232598593,0.0198,0.0018,0.9941,0.994
1.235002239,0.0200,0.0035,0.9943,0.995
1.236975364,0.0176,0.0049,0.9931,0.993
1.239305937,0.0188,0.0054,0.9943,0.994
1.241467187,0.0195,0.0040,0.9948,0.995
1.24446177,0.0203,0.0040,0.9931,0.993
1.248798072,0.0212,0.0057,0.9941,0.994
1.249737082,0.0193,0.0067,0.9963,0.996
1.251488749,0.0212,0.0074,0.9953,0.996
1.253783541,0.0200,0.0062,0.9953,0.996
1.256349895,0.0171,0.0069,0.9938,0.994
1.25944677,0.0161,0.0062,0.9963,0.996
1.260945989,0.0164,0.0049,0.9965,0.997
1.270032916,0.0178,0.0042,0.9958,0.996
1.271272187,0.0154,0.0064,0.9967,0.997
1.27172302,0.0146,0.0040,0.9975,0.998
1.27212177,0.0137,0.0049,0.9960,0.996
1.272929478,0.0127,0.0045,0.9963,0.996
1.275355572,0.0151,0.0047,0.9955,0.996
1.277817239,0.0125,0.0037,0.9945,0.995
1.28560328,0.0125,0.0052,0.9950,0.995
1.286473697,0.0103,0.0062,0.9943,0.994
1.286871197,0.0129,0.0054,0.9926,0.993
1.287284166,0.0107,0.0057,0.9936,0.994
1.289546145,0.0125,0.0057,0.9950,0.995
1.29195427,0.0112,0.0091,0.9943,0.994
1.294456926,0.0112,0.0074,0.9941,0.994
1.297658489,0.0110,0.0079,0.9923,0.992
1.299289218,0.0129,0.0079,0.9914,0.991
1.301654947,0.0122,0.0091,0.9923,0.992
1.30401703,0.0125,0.0081,0.9923,0.992
1.306518645,0.0146,0.0062,0.9921,0.992
1.308655885,0.0139,0.0064,0.9921,0.992
1.311304426,0.0142,0.0059,0.9906,0.991
1.31535552,0.0154,0.0042,0.9902,0.990
